name,socket,clock,turbo,cores,threads,price
AMD Ryzen 5 5600X,AM4,3.7,4.6,6,12,
AMD Ryzen 5 5500,AM4,3.6,4.2,6,12,119.0
AMD Ryzen 5 5600,AM4,3.5,4.4,6,12,148.98
AMD Ryzen 5 5600G,AM4,3.9,4.4,6,12,169.0
AMD Ryzen 5 7600,AM5,3.8,5.1,6,12,238.98
AMD Ryzen 5 7600X,AM5,4.7,5.3,6,12,258.98
AMD Ryzen 5 7600X3D,AM5,4.1,4.7,6,12,
AMD Ryzen 5 8400F,AM5,4.2,4.7,6,12,189.0
AMD Ryzen 5 8500G,AM5,4.1,5.0,6,12,199.0
AMD Ryzen 5 8600G,AM5,4.3,5.0,6,12,248.98
AMD Ryzen 5 9600X,AM5,3.9,5.4,6,12,339.99
AMD Ryzen 7 5700G,AM4,3.8,4.6,8,16,229.0
AMD Ryzen 7 5700X,AM4,3.4,4.6,8,16,209.0
AMD Ryzen 7 5700X3D,AM4,3.0,4.1,8,16,299.0
AMD Ryzen 7 5800X,AM4,3.8,4.7,8,16,209.0
AMD Ryzen 7 5800X3D,AM4,3.4,4.5,8,16,419.99
AMD Ryzen 7 7700,AM5,3.8,5.3,8,16,359.0
AMD Ryzen 7 7700X,AM5,4.5,5.4,8,16,399.0
AMD Ryzen 7 7800X3D,AM5,4.2,5.0,8,16,699.95
AMD Ryzen 7 8700F,AM5,4.1,5.0,8,16,277.99
AMD Ryzen 7 8700G,AM5,4.2,5.1,8,16,297.98
AMD Ryzen 7 9700X,AM5,3.8,5.5,8,16,449.0
AMD Ryzen 7 9800X3D,AM5,4.7,5.2,8,16,
AMD Ryzen 9 5900X,AM4,3.7,4.8,12,24,319.0
AMD Ryzen 9 5950X,AM4,3.4,4.9,16,32,309.99
AMD Ryzen 9 7900,AM5,3.7,5.4,12,24,479.0
AMD Ryzen 9 7900X,AM5,4.7,5.6,12,24,468.98
AMD Ryzen 9 7900X3D,AM5,4.4,5.6,12,24,560.98
AMD Ryzen 9 7950X,AM5,4.5,5.7,16,32,659.0
AMD Ryzen 9 7950X3D,AM5,4.2,5.7,16,32,839.0
AMD Ryzen 9 9900X,AM5,4.4,5.6,12,24,569.99
AMD Ryzen 9 9900X3D,AM5,4.4,5.5,12,24,
AMD Ryzen 9 9950X3D,AM5,4.3,5.7,16,32,
Intel Core Ultra 5 225,1851,3.3,4.9,10,10,
Intel Core Ultra 5 225F,1851,4.9,4.9,10,10,
Intel Core Ultra 5 235,1851,3.4,5.0,14,14,
Intel Core Ultra 5 245K,1851,4.2,5.2,6,6,439.0
Intel Core Ultra 5 245KF,1851,4.2,5.2,6,6,409.0
Intel Core Ultra 7 265K,1851,3.9,5.5,8,8,559.0
Intel Core Ultra 7 265KF,1851,3.9,5.5,8,8,539.99
Intel Core Ultra 9 285,1851,2.5,5.6000000000000005,24,24,
Intel Core Ultra 9 285K,1851,3.7,5.7,8,8,
AMD A10-6790K,FM2,4.0,4.3,4,4,
AMD A10-7800,FM2+,3.5,3.9,2,2,
AMD A10-7850K,FM2+,3.7,4.0,2,2,
AMD A10-7860K,FM2+,3.6,4.0,2,2,
AMD A10-7870K,FM2+,3.9,4.1,2,2,
AMD A10-7890K,FM2+,4.1,4.3,2,2,
AMD A10-9700,AM4,3.5,,4,4,43.76
AMD A12-9800,AM4,3.8,,4,4,
AMD A12-9800E,AM4,3.1,,4,4,
AMD A4-5300,FM2,3.4,3.6,2,2,
AMD A4-7300,FM2,3.8,4.0,1,1,
AMD A6-6400K,FM2,3.9,4.1,2,2,
AMD A6-7400K,FM2+,3.5,3.9,1,1,67.55
AMD A6-7470K,FM2+,3.7,4.0,1,1,
AMD A6-9500,AM4,3.5,,2,2,
AMD A6-9500E,AM4,3.0,,2,2,
AMD A8-6600K,FM2,3.9,4.2,4,4,
AMD A8-7600,FM2+,3.1,3.8,2,2,106.38
AMD A8-7650K,FM2+,3.3,3.7,2,2,
AMD A8-7650K,FM2+,3.3,3.7,2,2,110.05
AMD A8-7670K,FM2+,3.6,3.9,2,2,
AMD A8-9600,AM4,3.1,,4,4,
AMD Athlon 200GE,AM4,3.2,,2,4,94.17
AMD Athlon 220GE,AM4,3.4,,2,4,110.4
AMD Athlon 240GE,AM4,3.5,,2,4,98.6
AMD Athlon 3000G,AM4,3.5,,2,4,73.37
AMD Athlon X4 845,FM2+,3.5,3.8,2,2,
AMD Athlon X4 860K,FM2+,3.7,4.0,2,2,
AMD Athlon X4 860K,FM2+,3.7,4.0,2,2,
AMD Athlon X4 870K,FM2+,3.9,4.1,2,2,
AMD Athlon X4 880K,FM2+,4.0,4.2,2,2,
AMD Athlon X4 950,AM4,3.5,,4,4,
AMD FX-4300,AM3+,3.8,4.0,4,4,
AMD FX-4350,AM3+,4.2,4.3,4,4,
AMD FX-6300,AM3+,3.5,4.1,6,6,120.16
AMD FX-6350,AM3+,3.9,4.2,6,6,
AMD FX-8150,AM3+,3.6,4.2,8,8,
AMD FX-8300,AM3+,3.3,4.2,8,8,199.07
AMD FX-8320,AM3+,3.5,4.0,8,8,
AMD FX-8320E,AM3+,3.2,4.0,8,8,
AMD FX-8350,AM3+,4.0,4.2,8,8,
AMD FX-8370,AM3+,4.0,4.3,8,8,
AMD FX-8370,AM3+,4.0,4.3,8,8,200.39
AMD FX-8370E,AM3+,3.3,4.3,4,4,
AMD FX-9370,AM3+,4.4,4.7,4,4,330.01
AMD FX-9590,AM3+,4.7,5.0,8,8,322.99
AMD Phenom II X6 1090T,AM3,3.2,3.6,6,6,
AMD Ryzen 3 1200,AM4,3.1,3.4,4,4,161.44
AMD Ryzen 3 1200 AF,AM4,3.1,3.4,4,4,
AMD Ryzen 3 1300X,AM4,3.5,3.7,4,4,110.99
AMD Ryzen 3 2200G,AM4,3.5,3.7,4,4,139.99
AMD Ryzen 3 3100,AM4,3.6,3.9,4,8,165.98
