name,memory_gb,tdp_w,price
Sapphire Pulse Radeon RX 6600 Gaming Radeon RX 6600,8,132,
ASRock Arc B580 Challenger OC Intel Arc B580,12,190,
ASRock Arc B580 Steel Legend OC Intel Arc B580,12,190,
ASrock Radeon RX 9070 XT Taichi OC Radeon RX 9070 XT,16,304,
ASUS Dual RTX5060TI-16G GeForce RTX 5060 Ti (16GB),16,180,
ASUS Dual RTX5060TI-O16G GeForce RTX 5060 Ti (16GB),16,180,
ASUS Dual RTX5070-12G GeForce RTX 5070 (12GB),12,250,
ASUS Dual RTX5070-O12G GeForce RTX 5070 (12GB),12,250,
ASUS Prime Radeon RX 9060 XT O16G Radeon RX 9060 XT (16GB),16,167,
ASUS Prime RTX5060TI-16G GeForce RTX 5060 Ti (16GB),16,180,
ASUS Prime RTX5060TI-O16G GeForce RTX 5060 Ti (16GB),16,180,
ASUS Prime RTX5070-12G GeForce RTX 5070 (12GB),12,250,
ASUS Prime RTX5070-O12G GeForce RTX 5070 (12GB),12,250,
ASUS Prime RTX5070-O12G-WHITE GeForce RTX 5070 (12GB),12,250,
ASUS Prime RTX5070TI-16G GeForce RTX 5070 Ti (16GB),16,300,
ASUS Prime RTX5070TI-O16G GeForce RTX 5070 Ti (16GB),16,300,
ASUS Prime RTX5080-16G GeForce RTX 5080 (16GB),16,360,
ASUS Prime RTX5080-O16G GeForce RTX 5080 (16GB),16,360,
ASUS Prime RX9070-O16G Radeon RX 9070,16,220,
ASUS Prime RX9070XT-O16G Radeon RX 9070 XT,16,304,
ASUS ROG Astral  LC-RTX5090-32G-GAMING GeForce RTX 5090 (32GB),32,650,
ASUS ROG Astral  LC-RTX5090-O32G-GAMING GeForce RTX 5090 (32GB),32,650,
ASUS ROG Astral  RTX5080-16G-GAMING GeForce RTX 5080 (16GB),16,360,
ASUS ROG Astral  RTX5080-O16G-GAMING GeForce RTX 5080 (16GB),16,360,
ASUS ROG Astral  RTX5090-32G-GAMING GeForce RTX 5090 (32GB),32,650,
ASUS ROG Astral  RTX5090-O32G-GAMING GeForce RTX 5090 (32GB),32,650,
ASUS ROG STRIX-RTX5070-O12G-GAMING GeForce RTX 5070 (12GB),12,250,
ASUS ROG STRIX-RTX5070TI-16G-GAMING GeForce RTX 5070 Ti (16GB),16,300,
