Name,Size,Watt,Price
"Seasonic Core GM 80 Plus Gold, semi-modular",ATX,650W,
Aerocool Project 7,ATX,750W,
Aerocool Project 7,ATX,650W,
be quiet! Dark Power Pro P11 modular,ATX,750W,
be quiet! Dark Power Pro P11 modular,ATX,1200W,
be quiet! Dark Power Pro P11 modular,ATX,1000W,
be quiet! Dark Power Pro P11 modular,ATX,850W,
be quiet! Pure Power 11 80 PLUS Bronze,ATX,300W,
be quiet! Pure Power 11 80 PLUS Gold,ATX,500W,
be quiet! Pure Power 11 80 PLUS Gold,ATX,400W,
be quiet! Pure Power 11 80 PLUS Gold,ATX,600W,
be quiet! Pure Power 11 80 PLUS Gold,ATX,700W,
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,500W,
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,400W,
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,600W,
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,700W,
be quiet! Straight Power 11,ATX,850W,
be quiet! Straight Power 11,ATX,1000W,
BitFenix Formula 80 PLUS Gold,ATX,450W,
BitFenix Formula 80 PLUS Gold,ATX,550W,
BitFenix Formula 80 PLUS Gold,ATX,650W,
BitFenix Whisper M 80 PLUS Gold,ATX,450W,
BitFenix Whisper M 80 PLUS Gold,ATX,650W,
BitFenix Whisper M 80 PLUS Gold,ATX,550W,
BitFenix Whisper M 80 PLUS Gold,ATX,850W,
Cooler Master MasterWatt,ATX,450W,
Corsair CX450,ATX,450W,
Corsair CX450M,ATX,450W,
Corsair CX550,ATX,550W,
Corsair RM Series RM1000i,ATX,1000W,
Corsair RM Series RM650,ATX,650W,
Corsair RM Series RM750,ATX,750W,
Corsair RM Series RM850,ATX,850W,
Corsair RM Series RM850i,ATX,850W,
Corsair RM550x,ATX,550W,
Corsair RM750x,ATX,750W,
Corsair RMX Series RM1000x,ATX,1000W,
Corsair RMX Series RM750x,ATX,750W,
Corsair RMX Series RM850x,ATX,850W,
Corsair RMX Series RMX550,ATX,550W,
Corsair RMX Series RMX550x,ATX,550W,
Corsair RMX Series RMX650,ATX,650W,
