Name,Size,Type,Price
ADATA Lancer DDR5-5200,16 GB,DDR5-5200,
ADATA Premier DDR5-4800,16 GB,DDR5-4800,
ADATA XPG Spectrix D80 red,32 GB,DDR4-3200,
ADATA XPG Spectrix D80 black,16 GB,DDR4-3200,
ADATA XPG Spectrix RGB D41 grey,16 GB,DDR4-3200,
ADATA XPG Spectrix RGB D41 grey,32 GB,DDR4-3200,
ADATA XPG Spectrix RGB D41 grey,16 GB,DDR4-3600,
ADATA XPG Spectrix RGB D41 red,16 GB,DDR4-3600,
ADATA XPG Spectrix RGB D41 red,16 GB,DDR4-3200,
ADATA XPG Spectrix RGB D60G grey,16 GB,DDR4-3200,
ADATA XPG Spectrix RGB D60G grey,16 GB,DDR4-3600,
"Avexir Blitz Series, weiße LED, DDR4-3600, CL17 - 16 GB Kit",16 GB,DDR4-3600,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 16 GB Kit",16 GB,DDR4-2400,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB",8 GB,DDR4-2400,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB Kit",8 GB,DDR4-2400,
"Avexir Core Series, grüne LED, DDR4-2400, CL16 - 8 GB",8 GB,DDR4-2400,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 32 GB Kit",32 GB,DDR4-2400,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB",8 GB,DDR4-2400,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB Kit",8 GB,DDR4-2400,
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB",8 GB,DDR4-2400,
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB Kit",8 GB,DDR4-2400,
Ballistix Sport DDR3-1600 CL9,8 GB,DDR3-1600,
Ballistix Sport DDR3-1600 CL9,16 GB,DDR3-1600,
Ballistix Sport DDR4-2400 CL16,4 GB,DDR4-2400,
Ballistix Sport DDR4-2400 CL16,8 GB,DDR4-2400,
Ballistix Sport LT DDR4-2400 red CL16,32 GB,DDR4-2400,
Ballistix Tactical LP DDR3-1600 CL8   Low Profile,4 GB,DDR3-1600,
Corsair Dominator Platinum + AF,16 GB,DDR4-3600,
Corsair Dominator Platinum DDR4-2666 CL15,32 GB,DDR4-2666,
Corsair Dominator Platinum RGB Series,16 GB,DDR4-3200,
Corsair Dominator Platinum RGB Series,16 GB,DDR4-3600,
Corsair Dominator Platinum RGB Series,32 GB,DDR4-3200,
Corsair Dominator Platinum RGB Series,16 GB,DDR4-3200,
Corsair Dominator Platinum RGB Series,32 GB,DDR4-3200,
Corsair Dominator Platinum Series 16GB,16 GB,DDR4-3200,
Corsair Dominator Platinum Series 16GB,16 GB,DDR4-3466,
Corsair Dominator Platinum Series 32GB,32 GB,DDR4-3200,
Corsair Dominator Platinum Series DDR4-3200,16 GB,DDR4-3200,
Corsair LED 32GB,32 GB,DDR4-3200,
Corsair LPX 16GB,16 GB,DDR4-2800,
Corsair LPX 16GB,16 GB,DDR4-3200,
Corsair LPX 16GB,16 GB,DDR4-3000,
Corsair LPX 16GB,16 GB,DDR4-2666,
Corsair LPX 16GB,16 GB,DDR4-2400,
Corsair LPX 32GB,32 GB,DDR4-2400,
Corsair LPX 32GB,32 GB,DDR4-3200,
Corsair LPX 32GB,32 GB,DDR4-2400,
Corsair LPX 32GB,32 GB,DDR4-3466,
Corsair RGB 16GB,16 GB,DDR4-3200,
Corsair Value Select DDR3-1600 CL11,16 GB,DDR3-1600,
Corsair Value Select DDR4-2133  CL15  black,4 GB,DDR4-2133,
Corsair ValueSelect DDR3-1600 CL11,4 GB,DDR3-1600,
Corsair ValueSelect DDR3-1600 CL11,8 GB,DDR3-1600,
Corsair Vengeance,32 GB,DDR5-6400,
Corsair Vengeance,64 GB,DDR5-6000,
Corsair Vengeance DDR3-1866 CL10,32 GB,DDR3-1866,
Corsair Vengeance DDR5-6000,32 GB,DDR5-6000,
Corsair Vengeance LED blue DDR4-3000  CL15,64 GB,DDR4-3000,
Corsair Vengeance LED blue DDR4-3200  CL16,16 GB,DDR4-3200,
Corsair Vengeance LED red DDR4-2666  CL16,32 GB,DDR4-2666,
Corsair Vengeance LED red DDR4-2666  CL16,32 GB,DDR4-2666,
Corsair Vengeance LED red DDR4-3000  CL15,64 GB,DDR4-3000,
Corsair Vengeance LED red DDR4-3200  CL16,16 GB,DDR4-3200,
Corsair Vengeance LED white DDR4-2666  CL16,32 GB,DDR4-2666,
Corsair Vengeance LED white DDR4-2666  CL16,32 GB,DDR4-2666,
Corsair Vengeance LED white DDR4-2666  CL16,64 GB,DDR4-2666,
Corsair Vengeance LED white DDR4-3000  CL15,64 GB,DDR4-3000,
Corsair Vengeance LED white DDR4-3200  CL16,16 GB,DDR4-3200,
Corsair Vengeance Low DDR3-1600 CL10  Low Profile,16 GB,DDR3-1600,
Corsair Vengeance Low DDR3-1600 CL9  Low Profile blue,8 GB,DDR3-1600,
Corsair Vengeance Low Profile Black DDR3-1600 CL9,8 GB,DDR3-1600,
Corsair Vengeance Low Profile DDR3-1600 CL109,16 GB,DDR3-1600,
Corsair Vengeance Low Profile DDR3-1600 CL9,16 GB,DDR3-1600,
Corsair Vengeance Low Profile DDR3-1600 CL9,16 GB,DDR3-1600,
Corsair Vengeance LPX Black DDR4-2133  CL13,16 GB,DDR4-2133,
Corsair Vengeance LPX Black DDR4-2133  CL13,64 GB,DDR4-2133,
Corsair Vengeance LPX Black DDR4-2133  CL15,32 GB,DDR4-2133,
Corsair Vengeance LPX Black DDR4-2666  CL16,128 GB,DDR4-2666,
Corsair Vengeance LPX Black DDR4-3000  CL15,16 GB,DDR4-3000,
Corsair Vengeance LPX blue DDR4-3000  CL15,16 GB,DDR4-3000,
Corsair Vengeance LPX Blue DDR4-2400  CL14,32 GB,DDR4-2400,
Corsair Vengeance LPX DDR4-2400 CL16,32 GB,DDR4-2400,
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",16 GB,DDR4-3600,
Corsair Vengeance LPX red DDR4-2133  CL13,16 GB,DDR4-2133,
Corsair Vengeance LPX red DDR4-2133MHz CL13,16 GB,DDR4-2133,
Corsair Vengeance LPX red DDR4-2400MHz CL14,4 GB,DDR4-2400,
Corsair Vengeance LPX red DDR4-2666 CL16,8 GB,DDR4-2666,
Corsair Vengeance LPX red DDR4-3000MHz CL15,8 GB,DDR4-3000,
Corsair Vengeance LPX black + AF,16 GB,DDR4-3600,
Corsair Vengeance LPX black DDR4-2400 CL16,16 GB,DDR4-2400,
Corsair Vengeance LPX black DDR4-2400MHz CL14,4 GB,DDR4-2400,
Corsair Vengeance LPX black DDR4-2666MHz CL16,8 GB,DDR4-2666,
Corsair Vengeance LPX black DDR4-2800  CL14,16 GB,DDR4-2800,
Corsair Vengeance LPX black DDR4-3333  CL16,16 GB,DDR4-3333,
"Corsair Vengeance LPX Series red DDR4-2666, CL15 - 16 GB Kit",16 GB,DDR4-2666,
"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 16 GB Quad Kit",16 GB,DDR4-2666,
Corsair Vengeance LPX Series red DDR4-3200,16 GB,DDR4-3200,
"Corsair Vengeance LPX Series red DDR4-3466, CL16 - 16 GB Kit",16 GB,DDR4-3466,
"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",32 GB,DDR4-2400,
"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",8 GB,DDR4-3000,
Corsair Vengeance LPX Series black DDR4-3200,16 GB,DDR4-3200,
"Corsair Vengeance LPX Series black DDR4-3466, CL16 - 16 GB Kit",16 GB,DDR4-3466,
Corsair Vengeance LPX Series white,16 GB,DDR4-3200,
"Corsair Vengeance LPX Series white, DDR4-3200, CL 16 - 32 GB Dual-Kit",32 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3600,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-3600,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,16 GB,DDR4-3466,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series black,32 GB,DDR4-3466,
Corsair Vengeance RGB Pro Series white,32 GB,DDR4-3466,
Corsair Vengeance RGB Pro Series white,16 GB,DDR4-3200,
Corsair Vengeance RGB Pro Series white,16 GB,DDR4-3600,
Corsair Vengeance RGB Series black,16 GB,DDR4-3466,
Corsair Vengeance RGB Series white,16 GB,DDR4-3600,
Corsair Vengeance red DDR3-1866 CL10,32 GB,DDR3-1866,
Crucial Ballistix Elite series,16 GB,DDR4-3600,
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 32 GB Kit",32 GB,DDR4-2666,
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 8 GB",8 GB,DDR4-2666,
"Crucial Ballistix Elite Series DDR4-3000, CL15 - 16 GB Kit",16 GB,DDR4-3000,
Crucial Ballistix Sport AT series,16 GB,DDR4-3200,
Crucial Ballistix Sport AT series,32 GB,DDR4-3200,
Crucial Ballistix Sport DDR3-1600 CL9,4 GB,DDR3-1600,
Crucial Ballistix Sport LT DDR4-2400 CL16,32 GB,DDR4-2400,
Crucial Ballistix Sport LT DDR4-2400 red CL16,64 GB,DDR4-2400,
Crucial Ballistix Sport LT grey DDR4-2666 CL16,16 GB,DDR4-2666,
Crucial Ballistix Sport LT grey DDR4-2666 CL16,4 GB,DDR4-2666,
Crucial Ballistix Sport LT grey DDR4-2666 CL16,8 GB,DDR4-2666,
Crucial Ballistix Sport LT grey DDR4-2666 CL16,16 GB,DDR4-2666,
Crucial Ballistix Sport LT red DDR4-2666 CL16,16 GB,DDR4-2666,
Crucial Ballistix Sport LT red DDR4-2666 CL16,8 GB,DDR4-2666,
Crucial Ballistix Sport LT series grey,16 GB,DDR4-3200,
Crucial Ballistix Sport LT series grey,32 GB,DDR4-3200,
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 16 GB Kit",16 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 32 GB Kit",32 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB",8 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB Kit",8 GB,DDR4-2400,
Crucial Ballistix Sport LT series red,16 GB,DDR4-3200,
Crucial Ballistix Sport LT series red,32 GB,DDR4-3200,
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 16 GB Kit",16 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB",8 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB Kit",8 GB,DDR4-2400,
Crucial Ballistix Sport LT series white,16 GB,DDR4-3200,
Crucial Ballistix Sport LT series white,32 GB,DDR4-3200,
"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 16 GB Kit",16 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 32 GB Kit",32 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 8 GB Kit",8 GB,DDR4-2400,
"Crucial Ballistix Sport LT Series white, DDR4-2400, CL16 - 8 GB",8 GB,DDR4-2400,
Crucial Ballistix Sport LT white DDR4-2666 CL16,16 GB,DDR4-2666,
Crucial Ballistix Sport LT white DDR4-2666 CL16,4 GB,DDR4-2666,
Crucial Ballistix Sport LT white DDR4-2666 CL16,8 GB,DDR4-2666,
"Crucial Ballistix Sport Series DDR4-2400, CL16 - 8 GB Kit",8 GB,DDR4-2400,
Crucial Ballistix Sport XT DDR3-1866 CL10,8 GB,DDR3-1866,
Crucial Ballistix Sport XT DDR3-1866 CL10,16 GB,DDR3-1866,
Crucial Ballistix Tactical DDR3-1866 CL9,4 GB,DDR3-1866,
Crucial Ballistix Tactical DDR3-1866 CL9,16 GB,DDR3-1866,
Crucial Ballistix Tactical DDR4-2666 CL16,32 GB,DDR4-2666,
Crucial Ballistix Tactical DDR4-3000 CL15,4 GB,DDR4-3000,
Crucial Ballistix Tactical LP DDR3-1600 CL8,8 GB,DDR3-1600,
"Crucial Ballistix Tactical, DDR4-3000, CL16 - 16 GB Kit",16 GB,DDR4-3000,
Crucial DDR4-2133 CL15,4 GB,DDR4-2133,
Crucial DDR4-2133 CL15,8 GB,DDR4-2133,
Crucial DDR5-4800,16 GB,DDR5-4800,
Crucial DDR5-4800,32 GB,DDR5-4800,
Crucial DDR5-4800,64 GB,DDR5-4800,
"Crucial Value Series DDR4-2133, CL15 - 16 GB Kit",16 GB,DDR4-2133,
"Crucial Value Series DDR4-2133, CL15 - 8 GB",8 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 16GB,16 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 32GB,32 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 4GB,4 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2133 8GB,8 GB,DDR4-2133,
G.Skill Aegis DDR4 DDR4-2400 16GB,16 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2400 32GB,32 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2400 4GB,4 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-2400 8GB,8 GB,DDR4-2400,
G.Skill Aegis DDR4 DDR4-3000 16GB,16 GB,DDR4-3000,
G.Skill Aegis DDR4 DDR4-3000 8GB,8 GB,DDR4-3000,
G.Skill Flare X (for AMD) DDR4-2133 16GB,16 GB,DDR4-2133,
G.Skill Flare X Series,16 GB,DDR4-3200,
"G.Skill Fortis Series black, DDR4-2133 für Ryzen, CL 15 - 16 GB Dual-Kit",16 GB,DDR4-2133,
"G.Skill Fortis Series black, DDR4-2133 für Ryzen, CL 15 - 32 GB Dual-Kit",32 GB,DDR4-2133,
"G.Skill Fortis Series black, DDR4-2133 für Ryzen, CL 15 - 64 GB Quad-Kit",64 GB,DDR4-2133,
G.Skill Ripjaws V DDR4-3200 16GB,16 GB,DDR4-3200,
