Name,Sockets,Radiator,Price
be quiet! Dark Rock 4  - 135mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",NULL,62.9
Arctic Freezer 34  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",NULL,37.71
"Arctic Freezer 34 eSports Duo , 2x 120mm - red","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",NULL,90.0
"Arctic Freezer 34 eSports Duo , 2x 120mm - white","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",NULL,90.0
ARCTIC Freezer 36,"Intel LGA1851,1700,AM4,AM5",mm,37.71
Arctic Freezer A11  - 92mm,"AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,68.0
Arctic Freezer A32  - 120mm,"AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,81.53
Arctic Freezer I11  - 92mm,"1150, 1151, 1155, 1156, 2011, 2011-V3",NULL,75.16
Arctic Freezer i32,"1150, 1151, 1155, 1156, 2011, 2011-V3",NULL,67.0
ARCTIC Liquid Freezer III 240,"Intel LGA1851,1700,AM4,AM5",mm,119.99
ARCTIC Liquid Freezer III 240 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,124.99
ARCTIC Liquid Freezer III 280,"Intel LGA1851,1700,AM4,AM5",mm,119.99
ARCTIC Liquid Freezer III 360,"Intel LGA1851,1700,AM4,AM5",mm,84.99
ARCTIC Liquid Freezer III 360 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,180.99
ARCTIC Liquid Freezer III 360 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,180.99
ARCTIC Liquid Freezer III 420 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,221.4
ARCTIC Liquid Freezer III 420 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,221.4
ARCTIC Liquid Freezer III Pro 240,"Intel LGA1851,1700,AM4,AM5",mm,84.99
ARCTIC Liquid Freezer III Pro 360,"Intel LGA1851,1700,AM4,AM5",mm,84.99
ARCTIC Liquid Freezer III Pro 360 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,100.49
