name,memory_gb,tdp_w,price
Sapphire Pulse Radeon RX 6600 Gaming Radeon RX 6600,8,132,399.0
ASRock Arc B580 Challenger OC Intel Arc B580,12,190,274.99
ASRock Arc B580 Steel Legend OC Intel Arc B580,12,190,393.27
ASrock Radeon RX 9070 XT Taichi OC Radeon RX 9070 XT,16,304,139.99
ASUS Dual RTX5060TI-16G GeForce RTX 5060 Ti (16GB),16,180,239.0
ASUS Dual RTX5060TI-O16G GeForce RTX 5060 Ti (16GB),16,180,998.0
ASUS Dual RTX5070-12G GeForce RTX 5070 (12GB),12,250,255.0
ASUS Dual RTX5070-O12G GeForce RTX 5070 (12GB),12,250,998.0
ASUS Prime Radeon RX 9060 XT O16G Radeon RX 9060 XT (16GB),16,167,612.98
ASUS Prime RTX5060TI-16G GeForce RTX 5060 Ti (16GB),16,180,289.99
ASUS Prime RTX5060TI-O16G GeForce RTX 5060 Ti (16GB),16,180,289.99
ASUS Prime RTX5070-12G GeForce RTX 5070 (12GB),12,250,255.0
ASUS Prime RTX5070-O12G GeForce RTX 5070 (12GB),12,250,289.99
ASUS Prime RTX5070-O12G-WHITE GeForce RTX 5070 (12GB),12,250,289.99
ASUS Prime RTX5070TI-16G GeForce RTX 5070 Ti (16GB),16,300,289.99
ASUS Prime RTX5070TI-O16G GeForce RTX 5070 Ti (16GB),16,300,289.99
ASUS Prime RTX5080-16G GeForce RTX 5080 (16GB),16,360,612.98
ASUS Prime RTX5080-O16G GeForce RTX 5080 (16GB),16,360,289.99
ASUS Prime RX9070-O16G Radeon RX 9070,16,220,289.99
ASUS Prime RX9070XT-O16G Radeon RX 9070 XT,16,304,289.99
ASUS ROG Astral  LC-RTX5090-32G-GAMING GeForce RTX 5090 (32GB),32,650,429.99
ASUS ROG Astral  LC-RTX5090-O32G-GAMING GeForce RTX 5090 (32GB),32,650,3719.99
ASUS ROG Astral  RTX5080-16G-GAMING GeForce RTX 5080 (16GB),16,360,3412.98
ASUS ROG Astral  RTX5080-O16G-GAMING GeForce RTX 5080 (16GB),16,360,429.99
ASUS ROG Astral  RTX5090-32G-GAMING GeForce RTX 5090 (32GB),32,650,3412.98
ASUS ROG Astral  RTX5090-O32G-GAMING GeForce RTX 5090 (32GB),32,650,429.99
ASUS ROG STRIX-RTX5070-O12G-GAMING GeForce RTX 5070 (12GB),12,250,429.99
ASUS ROG STRIX-RTX5070TI-16G-GAMING GeForce RTX 5070 Ti (16GB),16,300,429.99
ASUS ROG STRIX-RTX5070TI-O16G-GAMING GeForce RTX 5070 Ti (16GB),16,300,429.99
ASUS ROG-STRIX-RTX5070-12G-GAMING GeForce RTX 5070 (12GB),12,250,429.99
ASUS TUF Gaming GeForce RTX 5080 OC Edition GeForce RTX 5080 (16GB),16,360,549.45
ASUS TUF Gaming TUF-RTX5060TI-16G-GAMING GeForce RTX 5060 Ti (16GB),16,180,998.0
ASUS TUF Gaming TUF-RTX5060TI-O16G-GAMING GeForce RTX 5060 Ti (16GB),16,180,998.0
ASUS TUF Gaming TUF-RTX5070-12G-GAMING GeForce RTX 5070 (12GB),12,250,998.0
ASUS TUF Gaming TUF-RTX5070TI-16G-GAMING GeForce RTX 5070 Ti (16GB),16,300,998.0
ASUS TUF Gaming TUF-RTX5070TI-O16G-GAMING GeForce RTX 5070 Ti (16GB),16,300,998.0
ASUS TUF Gaming TUF-RTX5070TI-O16G-WHITE-GAMING GeForce RTX 5070 Ti (16GB),16,300,998.0
ASUS TUF Gaming TUF-RTX5080-16G-GAMING GeForce RTX 5080 (16GB),16,360,998.0
ASUS TUF Gaming TUF-RTX5090-32G-GAMING GeForce RTX 5090 (32GB),32,650,998.0
ASUS TUF Gaming TUF-RTX5090-O32G-GAMING GeForce RTX 5090 (32GB),32,650,998.0
ASUS TUF Gaming TUF-RX9060XT-O16G-GAMING Radeon RX 9060 XT (16GB),16,167,998.0
ASUS TUF Gaming TUF-RX9070-O16G-GAMING Radeon RX 9070,16,220,998.0
ASUS TUF Gaming TUF-RX9070XT-O16G-GAMING Radeon RX 9070 XT,16,304,998.0
ASUS TUF-RTX5070-O12G-GAMING GeForce RTX 5070 (12GB),12,250,998.0
GIGABYTE AORUS GeForce RTX 5060 Ti ELITE 16G GeForce RTX 5060 Ti (16GB),16,180,649.0
GIGABYTE AORUS GeForce RTX 5070 MASTER 12G GeForce RTX 5070 (12GB),12,250,649.0
GIGABYTE AORUS GeForce RTX 5070 Ti MASTER 16G GeForce RTX 5070 Ti (16GB),16,300,649.0
GIGABYTE AORUS GeForce RTX 5080 MASTER 16G GeForce RTX 5080 (16GB),16,360,649.0
GIGABYTE AORUS GeForce RTX 5080 MASTER ICE 16G GeForce RTX 5080 (16GB),16,360,649.0
Gigabyte Aorus GeForce RTX 5090 Master 32G GeForce RTX 5090 (32GB),32,650,649.0
GIGABYTE AORUS GeForce RTX 5090 MASTER ICE 32G GeForce RTX 5090 (32GB),32,650,649.0
GIGABYTE AORUS GeForce RTX 5090 XTREME WATERFORCE 32G GeForce RTX 5090 (32GB),32,650,649.0
GIGABYTE AORUS GeForce RTX 5090 XTREME WATERFORCE WB 32G GeForce RTX 5090 (32GB),32,650,649.0
GIGABYTE AORUS Radeon RX 9070 XT ELITE 16G Radeon RX 9070 XT,16,304,649.0
GIGABYTE GeForce RTX 5060 Ti AERO OC 16G GeForce RTX 5060 Ti (16GB),16,180,589.0
GIGABYTE GeForce RTX 5060 Ti EAGLE OC 16G GeForce RTX 5060 Ti (16GB),16,180,589.0
GIGABYTE GeForce RTX 5060 Ti EAGLE OC ICE 16G GeForce RTX 5060 Ti (16GB),16,180,589.0
GIGABYTE GeForce RTX 5060 Ti GAMING OC 16G GeForce RTX 5060 Ti (16GB),16,180,589.0
GIGABYTE GeForce RTX 5060 Ti WINDFORCE 16G GeForce RTX 5060 Ti (16GB),16,180,589.0
GIGABYTE GeForce RTX 5060 Ti WINDFORCE OC 16G GeForce RTX 5060 Ti (16GB),16,180,589.0
GIGABYTE GeForce RTX 5070 Aero OC 12G GeForce RTX 5070 (12GB),12,250,589.0
GIGABYTE GeForce RTX 5070 EAGLE OC ICE SFF 12G GeForce RTX 5070 (12GB),12,250,589.0
GIGABYTE GeForce RTX 5070 EAGLE OC SFF 12G GeForce RTX 5070 (12GB),12,250,589.0
GIGABYTE GeForce RTX 5070 GAMING OC 12G GeForce RTX 5070 (12GB),12,250,589.0
GIGABYTE GeForce RTX 5070 Ti AERO OC 16G GeForce RTX 5070 Ti (16GB),16,300,589.0
GIGABYTE GeForce RTX 5070 Ti EAGLE OC ICE SFF 16G GeForce RTX 5070 Ti (16GB),16,300,589.0
GIGABYTE GeForce RTX 5070 Ti EAGLE OC SFF 16G GeForce RTX 5070 Ti (16GB),16,300,589.0
GIGABYTE GeForce RTX 5070 Ti GAMING OC 16G GeForce RTX 5070 Ti (16GB),16,300,589.0
GIGABYTE GeForce RTX 5070 Ti WINDFORCE OC SFF 16G GeForce RTX 5070 Ti (16GB),16,300,589.0
GIGABYTE GeForce RTX 5070 Ti WINDFORCE SFF 16G GeForce RTX 5070 Ti (16GB),16,300,589.0
GIGABYTE GeForce RTX 5070 WINDFORCE OC SFF 12G GeForce RTX 5070 (12GB),12,250,589.0
GIGABYTE GeForce RTX 5070 WINDFORCE SFF 12G GeForce RTX 5070 (12GB),12,250,589.0
GIGABYTE GeForce RTX 5080 AERO OC SFF 16G GeForce RTX 5080 (16GB),16,360,589.0
GIGABYTE GeForce RTX 5080 GAMING OC 16G GeForce RTX 5080 (16GB),16,360,589.0
GIGABYTE GeForce RTX 5080 WINDFORCE OC SFF 16G GeForce RTX 5080 (16GB),16,360,589.0
GIGABYTE GeForce RTX 5080 WINDFORCE SFF 16G GeForce RTX 5080 (16GB),16,360,589.0
GIGABYTE GeForce RTX 5090 GAMING OC 32G GeForce RTX 5090 (32GB),32,650,589.0
GIGABYTE GeForce RTX 5090 WINDFORCE 32G GeForce RTX 5090 (32GB),32,650,589.0
GIGABYTE GeForce RTX 5090 WINDFORCE OC 32G GeForce RTX 5090 (32GB),32,650,589.0
GIGABYTE Radeon RX 9060 XT GAMING 16G Radeon RX 9060 XT (16GB),16,167,589.0
GIGABYTE Radeon RX 9060 XT GAMING OC 16G Radeon RX 9060 XT (16GB),16,167,589.0
GIGABYTE Radeon RX 9070 GAMING 16GB Radeon RX 9070,16,220,589.0
GIGABYTE Radeon RX 9070 GAMING OC 16G Radeon RX 9070,16,220,589.0
GIGABYTE Radeon RX 9070 XT GAMING 16G Radeon RX 9070 XT,16,304,589.0
GIGABYTE Radeon RX 9070 XT GAMING OC 16G Radeon RX 9070 XT,16,304,589.0
"INNO3D GeForce RTX 5090 iChill Frostbite, 32768 MB GDDR7 GeForce RTX 5090 (32GB)",32,650,3266.51
Intel Arc B580 Limited Edition Intel Arc B580,12,190,209.99
MSI GAMING GeForce RTX 5070 12G TRIO OC GeForce RTX 5070 (12GB),12,250,559.99
MSI GAMING GeForce RTX 5070 12G TRIO OC WHITE GeForce RTX 5070 (12GB),12,250,559.99
MSI GAMING GEFORCE RTX 5080 16G TRIO OC graphics card GeForce RTX 5080 (16GB),16,360,559.99
MSI GAMING GEFORCE RTX 5080 16G TRIO OC WHITE graphics card GeForce RTX 5080 (16GB),16,360,559.99
MSI GeForce RTX 5070 12G INSPIRE 3X OC GeForce RTX 5070 (12GB),12,250,1210.0
MSI GeForce RTX 5070 12G SHADOW 2X OC GeForce RTX 5070 (12GB),12,250,1210.0
MSI GeForce RTX 5070 12G SHADOW 3X OC GeForce RTX 5070 (12GB),12,250,1210.0
MSI GEFORCE RTX 5080 16G SHADOW 3X OC graphics card GeForce RTX 5080 (16GB),16,360,1210.0
MSI GeForce RTX5070 Ti 16G SHADOW 3X OC GeForce RTX 5070 Ti (16GB),12,300,539.98
MSI SUPRIM GeForce RTX5080 16G SOC GeForce RTX 5080 (16GB),16,360,419.0
MSI VENTUS GEFORCE RTX 5080 16G 3X OC PLUS graphics card GeForce RTX 5080 (16GB),16,360,735.0
MSI VENTUS GEFORCE RTX 5080 16G 3X OC WHITE graphics card GeForce RTX 5080 (16GB),16,360,735.0
MSI VENTUS GeForce RTX5080 16G 3X OC GeForce RTX 5080 (16GB),16,360,399.0
Sapphire Pulse Radeon RX 9070 Gaming OC Radeon RX 9070,16,220,399.0
Sparkle Arc B580 Titan OC Intel Arc B580,12,190,401.37
"ZOTAC GAMING GeForce RTX 5060 Ti Twin Edge, 16384 MB GDDR7 GeForce RTX 5060 Ti (16GB)",16,180,334.31
ZOTAC GAMING GeForce RTX 5070 Ti Solid Core GeForce RTX 5070 Ti (16GB),16,300,334.31
ZOTAC GAMING GeForce RTX 5090 SOLID GeForce RTX 5090 (32GB),32,650,334.31
Aorus RTX 3070 Master GeForce RTX 3070,8,220,775.0
ASRock Arc A380 Challenger ITX Intel Arc A380,6,75,187.99
ASRock Arc A750 Challenger D OC Intel Arc A750,8,225,417.49
ASRock Radeon RX 6950 XT Phantom Gaming OC Radeon RX 6950 XT,16,335,139.99
ASRock Radeon RX 7600 Challenger 8GO Radeon RX 7600,8,165,139.99
ASRock Radeon RX 7600 Phantom Gaming 8GO Radeon RX 7600,8,165,139.99
ASRock Radeon RX 7600 Steel Legend 8GO Radeon RX 7600,8,165,139.99
ASRock Radeon RX 7600 XT Challenger 16GO Radeon RX 7600 XT (16GB),16,190,139.99
ASRock Radeon RX 7600 XT Steel Legend 16GO Radeon RX 7600 XT (16GB),16,190,139.99
ASRock Radeon RX 7700 XT Challenger 12GO Radeon RX 7700 XT,12,245,139.99
ASRock Radeon RX 7700 XT Phantom Gaming 12GO Radeon RX 7700 XT,12,245,139.99
ASRock Radeon RX 7700 XT Steel Legend 12GO Radeon RX 7700 XT,12,245,139.99
ASRock Radeon RX 7800 XT Challenger 16GO Radeon RX 7800 XT,16,263,139.99
ASRock Radeon RX 7800 XT Phantom Gaming 16GO Radeon RX 7800 XT,16,263,139.99
ASRock Radeon RX 7800 XT Steel Legend 16GO Radeon RX 7800 XT,16,263,139.99
ASRock Radeon VII Radeon VII,16,300,NULL
ASUS 90YV0HM4-M0NA00 graphics card GeForce RTX 3050 (8GB),8,130,NULL
Asus AREZ PH RX 550 2G Radeon RX 550,2,50,154.99
Asus CERBERUS GTX 1050 O2G GeForce GTX 1050,2,75,212.99
Asus CERBERUS GTX 1050TI O4G GeForce GTX 1050 Ti,4,75,283.49
ASUS Dual GeForce GTX 1650 4GB GDDR6 GeForce GTX 1650 (4GB),4,75,998.0
Asus DUAL GTX 1050 O2G GeForce GTX 1050,2,75,998.0
Asus DUAL GTX 1060 O3G GeForce GTX 1060 (3GB),3,120,395.0
Asus DUAL GTX 1060 O6G GeForce GTX 1060 (6GB),6,120,395.0
ASUS Dual GTX1630-4G GeForce GTX 1630,4,75,998.0
ASUS Dual GTX1630-O4G GeForce GTX 1630,4,75,998.0
ASUS Dual GTX1650-4GD6-P-V2 GeForce GTX 1650 (4GB),4,75,998.0
ASUS Dual GTX1650-O4GD6-P-EVO GeForce GTX 1650 (4GB),4,75,998.0
ASUS Dual GTX1650-O4GD6-P-V2 GeForce GTX 1650 (4GB),4,75,998.0
ASUS Dual RTX2060-12G-EVO graphics card GeForce RTX 2060 (12GB),12,160,998.0
ASUS Dual RTX3050-6G GeForce RTX 3050 (6GB),6,130,255.0
ASUS Dual RTX3050-8G GeForce RTX 3050 (8GB),8,130,255.0
ASUS Dual RTX3050-O8G graphics card GeForce RTX 3050 (8GB),8,130,998.0
ASUS Dual RTX3050-O8G-V2 GeForce RTX 3050 (8GB),8,130,469.79
ASUS Dual RTX3060-8G GeForce RTX 3060,8,170,998.0
ASUS Dual RTX3060TI-8GD6X-WHITE GeForce RTX 3060 Ti,8,200,998.0
ASUS Dual RTX3060TI-O8GD6X GeForce RTX 3060 Ti,8,200,998.0
ASUS Dual RTX3060TI-O8GD6X-WHITE GeForce RTX 3060 Ti,8,200,998.0
ASUS Dual RTX4060-8G GeForce RTX 4060 (8GB),8,115,124.74
ASUS Dual RTX4060-8G-EVO GeForce RTX 4060 (8GB),8,115,329.99
