Name,Size,Socket,Chipset,RAM Slots,Price
MSI B550-A Pro,ATX,AM4,B550,4,NULL
ASRock B650 Live Mixer,ATX,AM5,B650,4,NULL
ASRock B650 PG Lightning,ATX,AM5,B650,4,189.99
ASRock B650 Pro RS,ATX,AM5,B650,4,329.49
ASRock B650 Steel Legend WiFi,ATX,AM5,B650E,4,NULL
ASRock B650E PG Riptide WIFI,ATX,AM5,B650E,4,245.16
ASRock B650E PG-ITX WIFI,Mini-ITX,AM5,B650E,4,NULL
ASRock B650E Steel Legend WIFI,ATX,AM5,B650E,4,NULL
ASRock B650E Taichi,ATX,AM5,B650E,4,NULL
ASRock B650E Taichi Lite,ATX,AM5,B650E,4,NULL
ASRock B650M PG Lightning,Micro-ATX,AM5,B650,4,189.99
ASRock B650M PG Lightning WiFi,Micro-ATX,AM5,B650,4,189.99
ASRock B650M PG Riptide,Micro-ATX,AM5,B650E,4,245.16
"ASRock X570 Taichi, AMD X570",ATX,AM4,X570,4,NULL
ASRock X670E PG Lightning,ATX,AM5,X670E,4,NULL
ASRock X670E Pro RS,ATX,AM5,X670E,4,209.54
ASRock X670E Steel Legend,ATX,AM5,X670E,4,199.99
ASRock X670E Taichi,E-ATX,AM5,X670E,4,910.54
ASRock X670E Taichi Carrara,E-ATX,AM5,X670E,4,NULL
ASUS B650E MAX GAMING WIFI,ATX,AM5,B650,4,NULL
ASUS B650E MAX GAMING WIFI W,ATX,AM5,B650,4,NULL
ASUS B850 MAX GAMING WIFI W,ATX,AM5,B850,4,NULL
ASUS B860M MAX GAMING AX,Micro-ATX,1851,B860,4,NULL
ASUS PRIME A620-PLUS WIFI,ATX,AM5,A620,4,NULL
ASUS PRIME A620-PLUS WIFI6,ATX,AM5,A620,4,NULL
ASUS PRIME A620M-A-CSM,Micro-ATX,AM5,A620,4,159.9
ASUS PRIME B650-PLUS,ATX,AM5,B650,4,265.97
ASUS PRIME B650-PLUS WIFI,ATX,AM5,B650,4,179.99
ASUS PRIME B650-PLUS-CSM,ATX,AM5,B650,4,265.97
ASUS PRIME B650M-A,Micro-ATX,AM5,B650,4,208.96
ASUS PRIME B650M-A AX,Micro-ATX,AM5,B650,4,208.96
ASUS PRIME B650M-A AX II,Micro-ATX,AM5,B650,4,208.96
ASUS PRIME B650M-A II,Micro-ATX,AM5,B650,4,287.6
ASUS PRIME B650M-A II-CSM,Micro-ATX,AM5,B650,4,287.6
ASUS PRIME B650M-A II-CSM,Micro-ATX,AM5,B650,4,287.6
ASUS PRIME B650M-A WIFI II,Micro-ATX,AM5,B650,4,339.45
ASUS PRIME B650M-A-CSM,Micro-ATX,AM5,B650,4,287.6
ASUS PRIME B840-PLUS WIFI,ATX,AM5,B840,4,179.99
ASUS PRIME B840M-A WIFI,Micro-ATX,AM5,B840,4,339.45
ASUS PRIME B840M-A WIFI-CSM,Micro-ATX,AM5,B840,4,339.45
ASUS PRIME B840M-A-CSM,Micro-ATX,AM5,B840,4,249.93
ASUS PRIME B850-PLUS WIFI,ATX,AM5,B850,4,179.99
ASUS PRIME B850-PLUS-CSM,ATX,AM5,B850,4,265.97
ASUS PRIME B850-PLUS-CSM,ATX,AM5,B850,4,265.97
ASUS PRIME B850M-A WIFI,Micro-ATX,AM5,B850,4,339.45
ASUS PRIME B850M-A-CSM,Micro-ATX,AM5,B850,4,287.6
ASUS PRIME B860-PLUS WIFI,ATX,1851,B860,4,179.99
ASUS PRIME B860-PLUS-CSM,ATX,1851,B860,4,265.97
ASUS PRIME B860M-A WIFI,Micro-ATX,1851,B860,4,339.45
ASUS PRIME B860M-A-CSM,Micro-ATX,1851,B860,4,249.93
ASUS PRIME X670-P WIFI,ATX,AM5,X670,4,NULL
ASUS PRIME X670-P-CSM,ATX,AM5,X670,4,NULL
ASUS PRIME X870-P,ATX,AM5,X870,4,NULL
ASUS Prime X870-P WIFI,ATX,AM5,X870,4,NULL
ASUS PRIME Z890-P,ATX,1851,Z890,4,NULL
ASUS PRIME Z890-P WIFI,ATX,1851,Z890,4,NULL
ASUS PRIME Z890M-PLUS WIFI,Micro-ATX,1851,Z890,4,NULL
ASUS PRO B650M-CT-CSM,Micro-ATX,AM5,B650,4,149.99
ASUS PRO WS Z890-ACE SE,ATX,1851,Z890,4,NULL
ASUS PROART B650-CREATOR,ATX,AM5,B650,4,239.99
ASUS ProArt X870E-CREATOR WIFI,ATX,AM5,X870E,4,449.99
ASUS PROART Z890-CREATOR WIFI,ATX,1851,Z890,4,449.99
ASUS ROG CROSSHAIR X870E EXTREME,E-ATX,AM5,X870E,4,509.95
ASUS ROG CROSSHAIR X870E HERO,ATX,AM5,X870E,4,NULL
ASUS ROG MAXIMUS Z890 EXTREME,E-ATX,1851,Z890,4,958.0
ASUS ROG MAXIMUS Z890 HERO,ATX,1851,Z890,4,NULL
ASUS ROG MAXIMUS Z890 HERO BTF,ATX,1851,Z890,4,NULL
ASUS ROG STRIX B650-A GAMING WIFI,ATX,AM5,B650,4,299.0
ASUS ROG STRIX B650E-E GAMING WIFI,ATX,AM5,B650,4,299.0
ASUS ROG STRIX B650E-F GAMING WIFI,ATX,AM5,B650,4,299.0
ASUS ROG STRIX B650E-F GAMING WIFI,ATX,AM5,B650,4,299.0
ASUS ROG STRIX B850-A GAMING WIFI,ATX,AM5,B850,4,299.0
