Name,Size,Watt,Price
"Seasonic Core GM 80 Plus Gold, semi-modular",ATX,650W,NULL
Aerocool Project 7,ATX,750W,NULL
Aerocool Project 7,ATX,650W,NULL
be quiet! Dark Power Pro P11 modular,ATX,750W,35050.36
be quiet! Dark Power Pro P11 modular,ATX,1200W,35050.36
be quiet! Dark Power Pro P11 modular,ATX,1000W,35050.36
be quiet! Dark Power Pro P11 modular,ATX,850W,35050.36
be quiet! Pure Power 11 80 PLUS Bronze,ATX,300W,12954.67
be quiet! Pure Power 11 80 PLUS Gold,ATX,500W,12954.67
be quiet! Pure Power 11 80 PLUS Gold,ATX,400W,12954.67
be quiet! Pure Power 11 80 PLUS Gold,ATX,600W,12954.67
be quiet! Pure Power 11 80 PLUS Gold,ATX,700W,12954.67
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,500W,14118.66
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,400W,14118.66
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,600W,14118.66
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,700W,14118.66
be quiet! Straight Power 11,ATX,850W,17090.87
be quiet! Straight Power 11,ATX,1000W,17090.87
BitFenix Formula 80 PLUS Gold,ATX,450W,NULL
BitFenix Formula 80 PLUS Gold,ATX,550W,NULL
BitFenix Formula 80 PLUS Gold,ATX,650W,NULL
BitFenix Whisper M 80 PLUS Gold,ATX,450W,NULL
BitFenix Whisper M 80 PLUS Gold,ATX,650W,NULL
BitFenix Whisper M 80 PLUS Gold,ATX,550W,NULL
BitFenix Whisper M 80 PLUS Gold,ATX,850W,NULL
Cooler Master MasterWatt,ATX,450W,NULL
Corsair CX450,ATX,450W,14023.12
Corsair CX450M,ATX,450W,13585.75
Corsair CX550,ATX,550W,14023.12
Corsair RM Series RM1000i,ATX,1000W,20596.87
Corsair RM Series RM650,ATX,650W,20158.62
Corsair RM Series RM750,ATX,750W,13584.87
Corsair RM Series RM850,ATX,850W,14899.62
Corsair RM Series RM850i,ATX,850W,14899.62
Corsair RM550x,ATX,550W,18404.75
Corsair RM750x,ATX,750W,16635.97
Corsair RMX Series RM1000x,ATX,1000W,20596.87
Corsair RMX Series RM750x,ATX,750W,13584.87
Corsair RMX Series RM850x,ATX,850W,14899.62
Corsair RMX Series RMX550,ATX,550W,NULL
Corsair RMX Series RMX550x,ATX,550W,14899.62
Corsair RMX Series RMX650,ATX,650W,NULL
Corsair RMX Series RMX650x,ATX,650W,14899.62
Corsair RMX Series RMX750,ATX,750W,13584.87
Corsair RMX Series RMX850,ATX,850W,14899.62
Corsair SF Series SF450 80 PLUS Gold SFX,SFX,450W,NULL
Corsair TX550M,ATX,550W,22350.75
Corsair TX550M Series Modular,ATX,550W,NULL
Corsair TX650M,ATX,650W,22350.75
Corsair TX650M Series Modular,ATX,650W,NULL
Corsair TX750M,ATX,750W,22350.75
Corsair TX750M Series Modular,ATX,750W,NULL
Corsair TX850M,ATX,850W,22350.75
Corsair TX850M Series Modular,ATX,850W,NULL
Corsair Vengeance Series V500,ATX,500W,NULL
Corsair Vengeance Series V550M,ATX,550W,NULL
Cougar VTX,ATX,450W,6600.05
EVGA 450B,ATX,450W,12799.53
EVGA 500B,ATX,500W,6674.55
EVGA SuperNOVA 1000 PS,ATX,1000W,20540.78
EVGA SuperNOVA 550 G3,ATX,550W,21824.85
EVGA SuperNOVA 650 G3,ATX,650W,21035.12
EVGA SuperNOVA 750 G2,ATX,750W,13884.64
EVGA Supernova 750 G2L,ATX,750W,13884.64
EVGA SuperNOVA 750 G3,ATX,750W,13884.64
EVGA SuperNOVA 850 G2,ATX,850W,25243.2
EVGA SuperNOVA G2,ATX,1600W,25243.2
EVGA SuperNOVA G2,ATX,1300W,25243.2
EVGA SuperNOVA G2,ATX,1000W,25243.2
EVGA SuperNOVA G2,ATX,650W,25243.2
EVGA SuperNOVA G2,ATX,750W,25243.2
EVGA SuperNOVA G2,ATX,550W,25243.2
EVGA SuperNOVA G3,ATX,1000W,35059.12
EVGA SuperNOVA G3,ATX,750W,35059.12
EVGA SuperNOVA P2,ATX,850W,35059.12
EVGA SuperNOVA P2,ATX,1000W,35059.12
EVGA SuperNOVA P2,ATX,750W,35059.12
EVGA SuperNOVA P2 80 PLUS Platinum,ATX,650W,35059.12
Kolink Enclave 80 PLUS Gold,ATX,500W,NULL
Kolink SFX-250,SFX,250W,NULL
Kolink SFX-350,SFX,350W,NULL
MSI MAG A1250GL PCIE5,ATX,1250W,18835.99
MSI MAG A750GL PCIe5,ATX,750W,8764.12
MSI MAG A850GL PCIE5,ATX,850W,9607.32
MSI Power Supply MEG Ai1000P PCIE5,ATX,1000W,31549.62
PHANTEKS AMP 80 PLUS Gold,ATX,650W,NULL
PHANTEKS AMP 80 PLUS Gold,ATX,550W,NULL
Seasonic Core GC 80 Plus Gold,ATX,650W,NULL
Seasonic Core GC 80 PLUS Gold,ATX,500W,NULL
Seasonic Core GM 80 PLUS Gold,ATX,500W,NULL
Seasonic FOCUS 550 GOLD,ATX,550W,13498.1
Seasonic Focus GX 80 Plus Gold,ATX,550W,NULL
Seasonic Focus GX 80 Plus Gold,ATX,650W,NULL
Seasonic Focus GX 80 Plus Gold,ATX,750W,NULL
Seasonic Focus GX 80 PLUS Gold,ATX,850W,NULL
Seasonic Focus PX 80 Plus Platinum 750 Watt,ATX,750W,NULL
"Seasonic P-Series, Fanless 80 PLUS Platinum",ATX,400W,NULL
Seasonic PRIME 650 GOLD,ATX,650W,21106.12
Seasonic PRIME 750 W Platinum,ATX,750W,11805.58
Seasonic Prime PX 80 PLUS Platinum,ATX,650W,21106.12
Seasonic Prime Ultra 80 PLUS Platinum,ATX,650W,NULL
Seasonic Snow Silent,ATX,1050W,NULL
Silverstone SST-ST45SF V2.0 Strider Series SFX,SFX,450W,NULL
Silverstone SST-SX500-LG v2.0 SFX-L 80 PLUS Gold,SFX-L,500W,NULL
Silverstone SST-SX600-G Strider Gold Series,SFX,600W,NULL
Silverstone SST-SX800-LTI SFX-L 80 PLUS Titanium,"ATX, SFX-L",800W,NULL
Super Flower Golden Green HX,ATX,450W,17442.35
Super Flower Golden Green HX,ATX,550W,17442.35
"Super Flower Leadex 80 PLUS Platinum, black",ATX,650W,14899.62
Super Flower Leadex II,ATX,750W,17442.35
Super Flower Leadex II,ATX,650W,17442.35
Super Flower Leadex II,ATX,750W,17442.35
Super Flower Leadex II,ATX,650W,17442.35
Super Flower Leadex III 80 PLUS Gold,ATX,550W,17442.35
Super Flower Leadex III 80 PLUS Gold,ATX,650W,17442.35
Super Flower Leadex III 80 PLUS Gold,ATX,750W,17442.35
Super Flower Leadex III 80 PLUS Gold,ATX,850W,17442.35
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,850W,17442.35
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,750W,17442.35
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,650W,17442.35
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,550W,17442.35
Super Flower Platinum King,ATX,650W,14899.62
Super Flower Platinum King,ATX,450W,14899.62
Super Flower Platinum King,ATX,550W,14899.62
ABYSM Morphep G2 ATX 750W,ATX,750W,NULL
ABYSM Morphep G2 ATX 850W,ATX,850W,NULL
Aerocool Aero Bronze 500W 80 PLUS Bronze,ATX,500W,NULL
Aerocool Aero Bronze 550M 80 PLUS Bronze,ATX,550W,NULL
Aerocool Aero Bronze 550W 80 PLUS Bronze,ATX,550W,NULL
Aerocool Aero Bronze 600W 80 PLUS Bronze,ATX,600W,NULL
Aerocool Aero Bronze 650M 80 PLUS Bronze,ATX,650W,NULL
Aerocool Aero Bronze 650W 80 PLUS Bronze,ATX,650W,NULL
Aerocool Aero Bronze 700W 80 PLUS Bronze,ATX,700W,NULL
Aerocool Aero Bronze 750M 80 PLUS Bronze,ATX,750W,NULL
Aerocool Aero Bronze 750W 80 PLUS Bronze,ATX,750W,NULL
Aerocool Aero Bronze 850M 80 PLUS Bronze,ATX,850W,NULL
Aerocool Aero Cylon 400W 80 PLUS,ATX,400W,NULL
Aerocool Aero White 500 80 PLUS,ATX,500W,NULL
Aerocool Aero White 550 80 PLUS,ATX,550W,NULL
Aerocool Aero White 600 80 PLUS,ATX,600W,NULL
Aerocool Aero White 650 80 PLUS,ATX,650W,NULL
Aerocool Aero White 700 80 PLUS,ATX,700W,NULL
Aerocool Cylon RGB 500W 80 PLUS,ATX,500W,NULL
Aerocool Cylon RGB 600W 80 PLUS,ATX,600W,NULL
Aerocool Cylon RGB 700W 80 PLUS,ATX,700W,NULL
Aerocool DORADO 750W,ATX,750W,NULL
Aerocool MIRAGEGOLD650,ATX,650W,NULL
Aerocool MIRAGEGOLD650M,ATX,650W,NULL
Aerocool MIRAGEGOLD750,ATX,750W,NULL
Aerocool MIRAGEGOLD750M,ATX,750W,NULL
Aerocool MIRAGEGOLD850,ATX,850W,NULL
Aerocool MIRAGEGOLD850M,ATX,850W,NULL
Aerocool Project 7,ATX,850W,NULL
Aerocool Xpredator 400 80 PLUS Bronze,ATX,400W,NULL
Aerocool Xpredator 500,ATX,500W,NULL
Aerocool Xpredator 600,ATX,600W,NULL
Aerocool Xpredator 700,ATX,700W,NULL
Aerocool Xpredator 750M,ATX,750W,NULL
Aerocool Xpredator Gold 650GM,ATX,650W,NULL
Akasa,ITX,90W,NULL
Akasa externes für Mini-ITX Systeme 12V,external,84W,NULL
Akasa PD150-02K externes,"extern, sonstige",150W,NULL
Antec EAG Pro 550W 80 PLUS Gold,ATX,550W,NULL
Antec EAG Pro 650W 80 PLUS Gold,ATX,650W,NULL
Antec EAG Pro 750W 80 PLUS Gold,ATX,750W,17124.18
Antec EDGE EDG550,ATX,550W,NULL
Antec EDGE EDG650,ATX,650W,NULL
Antec EDGE EDG750,ATX,750W,NULL
Antec High Current Gamer,ATX,520W,44855.76
Antec High Current Gamer,ATX,620W,44855.76
Antec High Current Gamer HCG-620M,ATX,620W,44855.76
Antec High Current Gamer HCG-750M,ATX,750W,44855.76
Antec High Current Gamer HCG-850M,ATX,850W,44855.76
Antec High Current Gamer HCG650 80 PLUS Gold,ATX,650W,NULL
Antec High Current Gamer HCG750 80 PLUS Gold,ATX,750W,NULL
Antec High Current Gamer HCG850 80Plus Gold,ATX,850W,NULL
Antec High Current Pro HCP-1000 Platinum,ATX,1000W,NULL
Antec High Current Pro HCP-1300 Platinum,ATX,1300W,NULL
Antec High Current Pro HCP-850 Platinum,ATX,850W,NULL
Antec NE450M EC Semi Modular,ATX,450W,NULL
Antec NE550M EC Semi Modular,ATX,550W,NULL
Antec NE650M EC Semi Modular,ATX,650W,NULL
Antec True Power TP550C,ATX,550W,19460.05
