Name,Size,Bus,Format Type,Price
Crucial P2 1000 GB,1000 GB,NVM,NVMProtocol,21911.62
ADATA XPG SX8200 Pro Series 2000 GB,2000 GB,NVM,NVMProtocol,NULL
ADATA XPG SX8200 Pro Series 512 GB,512 GB,NVM,NVMProtocol,NULL
ADATA XPG SX8200 Series,960 GB,NVM,NVMProtocol,7422.2
ADATA XPG SX8200 Series,240 GB,NVM,NVMProtocol,7422.2
ADATA XPG SX8200 Series,480 GB,NVM,NVMProtocol,7422.2
Corsair MP400 1000 GB,1000 GB,NVM,NVMProtocol,14461.37
Corsair MP400 2000 GB,2000 GB,NVM,NVMProtocol,14461.37
Corsair MP400 4000 GB,4000 GB,NVM,NVMProtocol,14461.37
Corsair MP400 8000 GB,8000 GB,NVM,NVMProtocol,14461.37
Corsair MP600 1000 GB,1000 GB,NVM,NVMProtocol,14461.37
Corsair MP600 2000 GB,2000 GB,NVM,NVMProtocol,14461.37
Corsair MP600 500 GB,500 GB,NVM,NVMProtocol,14461.37
Corsair MP600 Pro 1000 GB,1000 GB,NVM,NVMProtocol,32354.24
Corsair MP600 Pro 2000 GB,2000 GB,NVM,NVMProtocol,32354.24
Crucial MX500 1000 GB,1000 GB,SATA,SATAProtocol,19169.06
Crucial P1,2000 GB,NVM,NVMProtocol,6133.75
Crucial P1 1000 GB,1000 GB,NVM,NVMProtocol,6133.75
Crucial P1 500 GB,500 GB,NVM,NVMProtocol,6133.75
Crucial P2 250 GB,250 GB,NVM,NVMProtocol,21911.62
Crucial P2 500 GB,500 GB,NVM,NVMProtocol,21911.62
Gigabyte Aorus 2000 GB,2000 GB,NVM,NVMProtocol,32334.08
Intel 660P 2000 GB,2000 GB,NVM,NVMProtocol,35074.9
Intel 660P 512 GB,512 GB,NVM,NVMProtocol,35074.9
Lexar NM620 1000 GB,1000 GB,NVM,NVMProtocol,6606.18
Lexar NM620 2000 GB,2000 GB,NVM,NVMProtocol,6606.18
Sabrent Rocket,2000 GB,NVM,NVMProtocol,16652.62
Sabrent Rocket,512 GB,NVM,NVMProtocol,16652.62
Sabrent Rocket,1000 GB,NVM,NVMProtocol,16652.62
Samsung 970 EVO,250 GB,NVM,NVMProtocol,12095.7
Samsung 970 EVO,2000 GB,NVM,NVMProtocol,12095.7
Samsung 970 EVO 1000 GB,1000 GB,NVM,NVMProtocol,12095.7
Samsung 970 EVO 500 GB,500 GB,NVM,NVMProtocol,12095.7
Samsung 970 Evo Plus 1000 GB,1000 GB,NVM,NVMProtocol,6133.75
Samsung 970 Evo Plus 2000 GB,2000 GB,NVM,NVMProtocol,6133.75
Samsung 980 PRO Series 1000 GB,1000 GB,NVM,NVMProtocol,NULL
Samsung 980 PRO Series 2000 GB,2000 GB,NVM,NVMProtocol,NULL
Samsung 980 PRO Series 500 GB,500 GB,NVM,NVMProtocol,NULL
